Published,Weekday(Monday==0),Updated,ID,Version,Title
2024-07-08T17:59:57Z,28,2024-07-08T17:59:57Z,2407.06192,1,'Multi-Object Hallucination in Vision-Language Models'
2024-07-08T17:59:55Z,28,2024-07-08T17:59:55Z,2407.06191,1,'Tailor3D: Customized 3D Assets Editing and Generation with Dual-Side  Images'
2024-07-08T17:59:54Z,28,2024-07-08T17:59:54Z,2407.06190,1,'4D Contrastive Superflows are Dense 3D Representation Learners'
2024-07-08T17:59:42Z,28,2024-07-08T17:59:42Z,2407.06189,1,'Video-STaR: Self-Training Enables Video Instruction Tuning with Any  Supervision'
2024-07-08T17:59:36Z,28,2024-07-08T17:59:36Z,2407.06188,1,'CrowdMoGen: Zero-Shot Text-Driven Collective Motion Generation'
2024-07-08T17:59:02Z,28,2024-07-08T17:59:02Z,2407.06187,1,'JeDi: Joint-Image Diffusion Models for Finetuning-Free Personalized  Text-to-Image Generation'
2024-07-08T17:56:00Z,28,2024-07-08T17:56:00Z,2407.06183,1,'Stepping on the Edge: Curvature Aware Learning Rate Tuners'
2024-07-08T17:52:23Z,28,2024-07-08T17:52:23Z,2407.06178,1,'Transfer Learning with Self-Supervised Vision Transformers for Snake  Identification'
2024-07-08T17:50:00Z,28,2024-07-08T17:50:00Z,2407.06177,1,'Vision-Language Models under Cultural and Inclusive Considerations'
2024-07-08T17:49:41Z,28,2024-07-08T17:49:41Z,2407.06174,1,'The Tug-of-War Between Deepfake Generation and Detection'
2024-07-08T17:48:42Z,28,2024-07-08T17:48:42Z,2407.06172,1,'On Speeding Up Language Model Evaluation'
2024-07-08T17:48:39Z,28,2024-07-08T17:48:39Z,2407.06169,1,'Potential Based Diffusion Motion Planning'
2024-07-08T17:47:45Z,28,2024-07-08T17:47:45Z,2407.06168,1,'TARGO: Benchmarking Target-driven Object Grasping under Occlusions'
2024-07-08T17:45:40Z,28,2024-07-08T17:45:40Z,2407.06167,1,'DεpS: Delayed ε-Shrinking for Faster Once-For-All  Training'
2024-07-08T17:28:16Z,28,2024-07-08T17:28:16Z,2407.06154,1,'Enhancing Robotic Arm Activity Recognition with Vision Transformers and  Wavelet-Transformed Channel State Information'
2024-07-08T17:27:17Z,28,2024-07-08T17:27:17Z,2407.06153,1,'Whats Wrong with Your Code Generated by Large Language Models? An  Extensive Study'
2024-07-08T17:26:49Z,28,2024-07-08T17:26:49Z,2407.06152,1,'Uni-ELF: A Multi-Level Representation Learning Framework for Electrolyte  Formulation Design'
2024-07-08T17:22:27Z,28,2024-07-08T17:22:27Z,2407.06150,1,'PanDORA: Casual HDR Radiance Acquisition for Indoor Scenes'
2024-07-08T17:19:59Z,28,2024-07-09T07:08:11Z,2407.06146,2,'Using Grammar Masking to Ensure Syntactic Validity in LLM-based Modeling  Tasks'
2024-07-08T17:09:39Z,28,2024-07-08T17:09:39Z,2407.06136,1,'Mamba-FSCIL: Dynamic Adaptation with Selective State Space Model for  Few-Shot Class-Incremental Learning'
2024-07-08T17:08:02Z,28,2024-07-08T17:08:02Z,2407.06135,1,"'ANOLE: An Open, Autoregressive, Native Large Multimodal Models for  Interleaved Image-Text Generation'"
2024-07-08T17:04:31Z,28,2024-07-09T15:59:29Z,2407.06129,2,'Evaluating the Semantic Profiling Abilities of LLMs for Natural Language  Utterances in Data Visualization'
2024-07-08T17:00:51Z,28,2024-07-08T17:00:51Z,2407.06125,1,'Depression Detection and Analysis using Large Language Models on Textual  and Audio-Visual Modalities'
2024-07-08T17:00:28Z,28,2024-07-08T17:00:28Z,2407.06124,1,'Structured Generations: Using Hierarchical Clusters to guide Diffusion  Models'
2024-07-08T16:58:57Z,28,2024-07-08T16:58:57Z,2407.06121,1,'Periodic agent-state based Q-learning for POMDPs'
2024-07-08T16:57:26Z,28,2024-07-08T16:57:26Z,2407.06120,1,'Sketchy Moment Matching: Toward Fast and Provable Data Selection for  Finetuning'
2024-07-08T16:56:37Z,28,2024-07-08T16:56:37Z,2407.06118,1,'Autonomous Mobile Robot Navigation: Tracking problem'
2024-07-08T16:49:01Z,28,2024-07-08T16:49:01Z,2407.06113,1,'C2C: Component-to-Composition Learning for Zero-Shot Compositional  Action Recognition'
2024-07-08T16:48:48Z,28,2024-07-08T16:48:48Z,2407.06112,1,'Enhancing Language Model Rationality with Bi-Directional Deliberation  Reasoning'
2024-07-08T16:47:19Z,28,2024-07-08T16:47:19Z,2407.06110,1,'FGA: Fourier-Guided Attention Network for Crowd Count Estimation'
2024-07-08T16:46:47Z,28,2024-07-08T16:46:47Z,2407.06109,1,'PerlDiff: Controllable Street View Synthesis Using Perspective-Layout  Diffusion Models'
2024-07-08T16:38:52Z,28,2024-07-08T16:38:52Z,2407.06099,1,'Physics-Informed Machine Learning Towards A Real-Time Spacecraft Thermal  Simulator'
2024-07-08T16:38:31Z,28,2024-07-08T16:38:31Z,2407.06098,1,'Epistemological Bias As a Means for the Automated Detection of  Injustices in Text'
2024-07-08T16:36:55Z,28,2024-07-08T16:36:55Z,2407.06096,1,'Muzzle-Based Cattle Identification System Using Artificial Intelligence  (AI)'
2024-07-08T16:36:12Z,28,2024-07-08T16:36:12Z,2407.06095,1,'Accelerating Diffusion for SAR-to-Optical Image Translation via  Adversarial Consistency Distillation'
2024-07-08T16:34:48Z,28,2024-07-08T16:34:48Z,2407.06094,1,'ERR@HRI 2024 Challenge: Multimodal Detection of Errors and Failures in  Human-Robot Interactions'
2024-07-08T16:34:47Z,28,2024-07-08T16:34:47Z,2407.06093,1,'Artificial Intuition: Efficient Classification of Scientific Abstracts'
2024-07-08T16:31:49Z,28,2024-07-08T16:31:49Z,2407.06092,1,'Assessing Cardiomegaly in Dogs Using a Simple CNN Model'
