2024-06-06T17:59:58Z,2024-06-06T17:59:58Z,2406.04345,1,'Stereo-Depth Fusion through Virtual Pattern Projection'
2024-06-06T17:59:56Z,2024-06-06T17:59:56Z,2406.04342,1,'Learning 1D Causal Visual Representation with De-focus Attention  Networks'
2024-06-06T17:59:56Z,2024-06-06T17:59:56Z,2406.04343,1,'Flash3D: Feed-Forward Generalisable 3D Scene Reconstruction from a  Single Image'
2024-06-06T17:59:56Z,2024-06-06T17:59:56Z,2406.04344,1,'Verbalized Machine Learning: Revisiting Machine Learning with Language  Models'
2024-06-06T17:59:52Z,2024-06-06T17:59:52Z,2406.04341,1,'Interpreting the Second-Order Effects of Neurons in CLIP'
2024-06-06T17:59:50Z,2024-06-06T17:59:50Z,2406.04340,1,'GLACE: Global Local Accelerated Coordinate Encoding'
2024-06-06T17:59:47Z,2024-06-06T17:59:47Z,2406.04338,1,'Physics3D: Learning Physical Properties of 3D Gaussians via Video  Diffusion'
2024-06-06T17:59:47Z,2024-06-06T17:59:47Z,2406.04339,1,'RoboMamba: Multimodal State Space Model for Efficient Robot Reasoning  and Manipulation'
2024-06-06T17:59:44Z,2024-06-06T17:59:44Z,2406.04337,1,'Coherent Zero-Shot Visual Instruction Generation'
2024-06-06T17:59:41Z,2024-06-06T17:59:41Z,2406.04336,1,'On the Expressive Power of Spectral Invariant Graph Neural Networks'
2024-06-06T17:59:34Z,2024-06-06T17:59:34Z,2406.04334,1,'DeepStack: Deeply Stacking Visual Tokens is Surprisingly Simple and  Effective for LMMs'
2024-06-06T17:59:23Z,2024-06-06T17:59:23Z,2406.04332,1,'Coarse-To-Fine Tensor Trains for Compact Visual Representations'
2024-06-06T17:59:23Z,2024-06-06T17:59:23Z,2406.04333,1,'BitsFusion: 1.99 bits Weight Quantization of Diffusion Model'
2024-06-06T17:59:10Z,2024-06-06T17:59:10Z,2406.04329,1,'Simplified and Generalized Masked Diffusion for Discrete Data'
2024-06-06T17:59:10Z,2024-06-06T17:59:10Z,2406.04330,1,'Parameter-Inverted Image Pyramid Networks'
2024-06-06T17:59:10Z,2024-06-06T17:59:10Z,2406.04331,1,'PaCE: Parsimonious Concept Engineering for Large Language Models'
2024-06-06T17:59:09Z,2024-06-06T17:59:09Z,2406.04327,1,'Causal Estimation of Memorisation Profiles'
2024-06-06T17:59:09Z,2024-06-06T17:59:09Z,2406.04328,1,'The Brains Bitter Lesson: Scaling Speech Decoding With Self-Supervised  Learning'
2024-06-06T17:58:54Z,2024-06-06T17:58:54Z,2406.04325,1,'ShareGPT4Video: Improving Video Understanding and Generation with Better  Captions'
2024-06-06T17:58:27Z,2024-06-06T17:58:27Z,2406.04324,1,'SF-V: Single Forward Video Generation Model'
2024-06-06T17:58:15Z,2024-06-06T17:58:15Z,2406.04322,1,'DIRECT-3D: Learning Direct Text-to-3D Generation on Massive Noisy 3D  Data'
2024-06-06T17:58:15Z,2024-06-06T17:58:15Z,2406.04323,1,'ATraDiff: Accelerating Online Reinforcement Learning with Imaginary  Trajectories'
2024-06-06T17:58:11Z,2024-06-06T17:58:11Z,2406.04321,1,'VidMuse: A Simple Video-to-Music Generation Framework with  Long-Short-Term Modeling'
